page_id,model,quant,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,model_size_gb
8482780,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3791,4.13,5.99
6185264,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3487,3.59,5.99
1641976,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3881,4.32,5.99
7966866,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,1062,34.5,5.99
1136370,llama-3.2-3b,f16,37,131.29999999999998,0.5,0.5,0.5,0,0,1,0.0,2827,40.99,5.99
1294384,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3726,3.73,5.99
1634121,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3750,3.68,5.99
1303220,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3694,10.5,5.99
1652502,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3845,13.51,5.99
983255,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3608,3.54,5.99
4884073,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3753,3.78,5.99
1799851,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,597,32.47,5.99
7974080,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,1505,6.64,5.99
8459244,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3870,3.82,5.99
1642144,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,721,2.64,5.99
8467849,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3829,3.97,5.99
1643708,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2553,2.5,5.99
1026598,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,709,2.39,5.99
1055094,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3348,3.2,5.99
1042897,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,2388,2.17,5.99
1022119,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,0,0.0,3828,13.96,5.99
1649552,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3797,3.73,5.99
6774662,llama-3.2-3b,f16,8,27.400000000000002,0.0,0.0,0.0,0,0,0,0.0,372,27.17,5.99
856030,llama-3.2-3b,f16,37,130.1,0.0,0.0,0.0,0,0,1,0.0,3044,3.05,5.99
1197426,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3824,3.79,5.99
1639498,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3619,3.5,5.99
1028648,llama-3.2-3b,f16,37,131.29999999999998,0.5,0.5,0.5,0,0,1,0.0,773,14.33,5.99
1422558,llama-3.2-3b,f16,20,72.60000000000001,0.0,0.0,0.0,0,0,0,0.0,3863,4.04,5.99
999515,llama-3.2-3b,f16,37,131.29999999999998,1.0,1.0,1.0,1,0,1,0.0,712,2.68,5.99
7967951,llama-3.2-3b,f16,37,131.29999999999998,0.0,0.0,0.0,0,0,1,0.0,3783,3.93,5.99
