page_id,model,context_type,schema_keys,schema_complexity,f1,precision,recall,exact_match,json_valid,schema_valid,hallucination_rate,tokens_in,latency_s,cost_usd
779052,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,0.0,3045,0.76,0.00609
779285,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,1,1.0,2964,4.17,0.005928
1172483,mistral-large,markdown,38,167.70000000000002,0.5714,0.5714,0.5714,0,0,1,0.0,4686,8.14,0.009372
776888,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,0.0,591,0.7,0.001182
47788,mistral-large,markdown,35,136.4,0.0,0.0,0.0,0,0,0,0.0,8759,22.85,0.017518
776913,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,0.0,2682,0.75,0.005364
461773,mistral-large,markdown,49,135.7,0.0,0.0,0.0,0,0,0,0.0,6819,19.28,0.013638
406307,mistral-large,markdown,28,144.3,0.2857,1.0,0.1667,0,0,0,0.0,2088,1.33,0.004176
487393,mistral-large,markdown,42,140.2,0.7692,0.8333,0.7143,0,0,0,0.0,5092,5.56,0.010184
4884445,mistral-large,markdown,49,149.9,0.0,0.0,0.0,0,0,0,0.0,6907,1.66,0.013814
7301380,mistral-large,markdown,46,144.7,0.0,0.0,0.0,0,0,0,1.0,8290,10.94,0.01658
3643714,mistral-large,markdown,47,131.6,0.0,0.0,0.0,0,0,0,0.0,5251,9.6,0.010502
5000221,mistral-large,markdown,50,141.9,0.0,0.0,0.0,0,0,0,0.0,9129,17.92,0.018258
61296,mistral-large,markdown,49,149.5,0.0,0.0,0.0,0,0,0,1.0,3355,2.58,0.00671
8422709,mistral-large,markdown,43,135.9,0.0,0.0,0.0,0,0,0,0.0,9959,8.92,0.019918
831526,mistral-large,markdown,45,137.5,0.0,0.0,0.0,0,0,0,0.0,7726,14.37,0.015452
2558586,mistral-large,markdown,44,153.20000000000002,0.0,0.0,0.0,0,0,1,0.0,4821,3.49,0.009642
6227350,mistral-large,markdown,40,137.3,0.0,0.0,0.0,0,0,1,1.0,1860,6.09,0.00372
307382,mistral-large,markdown,47,148.6,0.0,0.0,0.0,0,0,0,0.0,1383,1.92,0.002766
836100,mistral-large,markdown,46,152.8,0.0,0.0,0.0,0,0,0,0.0,8499,21.82,0.016998
7419512,mistral-large,markdown,43,134.9,0.0,0.0,0.0,0,0,0,0.0,4543,1.88,0.009086
7771527,mistral-large,markdown,48,136.29999999999998,0.0,0.0,0.0,0,0,1,0.0,9743,2.28,0.019486
373606,mistral-large,markdown,32,136.5,0.0,0.0,0.0,0,0,0,0.0,668,0.62,0.001336
538267,mistral-large,markdown,40,177.1,0.4444,0.4444,0.4444,0,0,1,0.8571,8266,7.26,0.016532
6830029,mistral-large,markdown,50,140.3,0.0,0.0,0.0,0,0,0,0.0,8133,13.53,0.016266
779325,mistral-large,markdown,37,133.8,0.0,0.0,0.0,0,0,1,0.0,3058,4.12,0.006116
3642409,mistral-large,markdown,47,132.1,0.0,0.0,0.0,0,0,0,0.0,4812,3.43,0.009624
8538698,mistral-large,markdown,49,162.20000000000002,0.0,0.0,0.0,0,0,0,0.0,2850,2.32,0.0057
759754,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,1,1.0,7454,1.12,0.014908
6742846,mistral-large,markdown,47,134.0,0.5,0.5,0.5,0,0,1,0.0,8831,1.78,0.017662
638110,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,1,0.0,8800,1.3,0.0176
31040,mistral-large,markdown,47,144.6,0.0,0.0,0.0,0,0,1,0.0,3135,1.9,0.00627
779075,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,0.0,8052,1.13,0.016104
1572404,mistral-large,markdown,45,169.0,0.0,0.0,0.0,0,0,0,0.0,11953,22.13,0.023906
564561,mistral-large,markdown,47,149.2,0.7059,0.75,0.6667,0,0,0,0.4286,3413,6.31,0.006826
779270,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,0,1.0,3115,9.25,0.00623
427006,mistral-large,markdown,40,145.2,0.5714,0.8,0.4444,0,0,0,0.25,8145,2.85,0.01629
373997,mistral-large,markdown,44,146.8,0.0,0.0,0.0,0,0,0,0.0,3750,0.79,0.0075
779946,mistral-large,markdown,48,147.5,0.4286,0.4286,0.4286,0,0,1,0.6,10891,12.21,0.021782
774295,mistral-large,markdown,38,138.0,0.0,0.0,0.0,0,0,0,0.0,8948,22.13,0.017896
187771,mistral-large,markdown,48,164.6,0.6667,1.0,0.5,0,0,0,0.0,9649,1.3,0.019298
772321,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,0.0,10288,1.51,0.020576
553632,mistral-large,markdown,45,141.2,0.6,0.75,0.5,0,0,1,0.0,8351,2.29,0.016702
778838,mistral-large,markdown,37,133.8,0.0,0.0,0.0,0,0,0,0.0,9895,1.61,0.01979
160,mistral-large,markdown,39,136.0,0.0,0.0,0.0,0,0,0,0.0,3547,15.36,0.007094
330769,mistral-large,markdown,38,131.7,0.4,0.5,0.3333,0,0,1,0.0,5001,2.71,0.010002
772340,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,0.0,3220,0.88,0.00644
779275,mistral-large,markdown,37,133.8,0.6667,1.0,0.5,0,0,0,0.0,577,3.15,0.001154
453839,mistral-large,markdown,43,133.70000000000002,0.0,0.0,0.0,0,0,0,0.0,3657,1.57,0.007314
147684,mistral-large,markdown,28,139.70000000000002,0.2857,1.0,0.1667,0,0,0,0.0,4284,1.73,0.008568
783171,mistral-large,markdown,37,134.4,0.0,0.0,0.0,0,0,1,0.0,8975,20.8,0.01795
1572617,mistral-large,markdown,46,173.79999999999998,0.0,0.0,0.0,0,0,0,0.0,11962,25.35,0.023924
18136,mistral-large,markdown,48,169.5,0.5556,0.7143,0.4545,0,0,0,0.4286,3734,4.99,0.007468
772329,mistral-large,markdown,37,133.8,1.0,1.0,1.0,1,0,1,0.0,2278,3.09,0.004556
389974,mistral-large,markdown,48,172.8,0.625,0.7143,0.5556,0,0,0,0.0,2946,7.02,0.005892
1141841,mistral-large,markdown,43,133.5,0.0,0.0,0.0,0,0,0,0.0,7703,13.8,0.015406
468738,mistral-large,markdown,40,169.0,0.25,0.2857,0.2222,0,0,0,0.1429,8988,6.19,0.017976
966890,mistral-large,markdown,49,142.0,0.0,0.0,0.0,0,0,0,0.0,5810,2.41,0.01162
1572352,mistral-large,markdown,49,164.1,0.0,0.0,0.0,0,0,0,0.0,4345,14.87,0.00869
3643549,mistral-large,markdown,50,141.1,0.0,0.0,0.0,0,0,0,0.0,9050,19.33,0.0181
6051142,mistral-large,markdown,48,169.8,1.0,1.0,1.0,1,0,1,0.0,3763,3.13,0.007526
779504,mistral-large,markdown,37,133.8,0.5,0.5,0.5,0,0,0,0.0,8761,9.46,0.017522
469612,mistral-large,markdown,48,200.6,0.4,0.4444,0.3636,0,0,0,0.25,13994,9.31,0.027988
